索引番号,食品名,エネルギー,たんぱく質,脂質,炭水化物,食塩相当量
130,こめ［水稲めし］精白米インディカ米,184,3.8,0.4,41.5,0
131,こめ［水稲めし］精白米うるち米,156,2.5,0.3,37.1,0
132,こめ［水稲めし］精白米もち米,188,3.5,0.5,43.9,0
133,こめ［水稲めし］はいが精米,159,2.7,0.6,36.4,0
134,こめ［水稲めし］発芽玄米,161,3,1.4,35,0
135,こめ［水稲めし］赤米,150,3.8,1.3,32.7,0
136,こめ［水稲めし］黒米,150,3.6,1.4,32.2,0
137,こめ［水稲軟めし］精白米,113,-1.8,-0.3,-26.4,0
138,こめ［水稲全かゆ］玄米,64,-1.2,-0.4,-15.2,0
139,こめ［水稲全かゆ］半つき米,65,-1.1,-0.3,-15.5,0
140,こめ［水稲全かゆ］七分つき米,68,-1.1,-0.2,-15.6,0
141,こめ［水稲全かゆ］精白米,65,-1.1,-0.1,-15.7,0
142,こめ［水稲五分かゆ］玄米,32,-0.6,-0.2,-7.6,0
143,こめ［水稲五分かゆ］半つき米,32,-0.6,-0.1,-7.7,0
144,こめ［水稲五分かゆ］七分つき米,32,-0.6,-0.1,-7.7,0
145,こめ［水稲五分かゆ］精白米,33,-0.5,-0.1,-7.9,0
146,こめ［水稲おもゆ］玄米,19,-0.4,-0.1,-4.4,0
147,こめ［水稲おもゆ］半つき米,19,-0.3,-0.1,-4.6,0
148,こめ［水稲おもゆ］七分つき米,20,-0.3,-0.1,-4.6,0
149,こめ［水稲おもゆ］精白米,19,-0.3,0,-4.7,0
150,こめ［陸稲穀粒］玄米,357,10.1,2.7,71.1,0
151,こめ［陸稲穀粒］半つき米,356,9.6,1.8,72.9,0
152,こめ［陸稲穀粒］七分つき米,359,9.5,1.5,73.4,0
153,こめ［陸稲穀粒］精白米,331,9.3,0.9,74.5,0
154,こめ［陸稲めし］玄米,156,4.1,1,34.3,0
155,こめ［陸稲めし］半つき米,157,3.8,0.6,35.3,0
156,こめ［陸稲めし］七分つき米,155,3.6,0.5,35.7,0
157,こめ［陸稲めし］精白米,157,3.5,0.3,36.1,0
158,こめ［うるち米製品］アルファ化米一般用,358,6,1,84.8,0
159,こめ［うるち米製品］アルファ化米学校給食用強化品,358,6,1,84.8,0
160,こめ［うるち米製品］おにぎり,170,2.7,0.3,39.4,0.5
