索引番号,食品名,エネルギー,たんぱく質,脂質,炭水化物,食塩相当量
1384,＜魚類＞（たい類）ちだい生,97,19.4,2.4,0.1,0.2
1385,＜魚類＞（たい類）まだい天然生,129,20.6,5.8,0.1,0.1
1386,＜魚類＞（たい類）まだい養殖皮つき生,160,20.9,9.4,0.1,0.1
1387,＜魚類＞（たい類）まだい養殖皮つき水煮,182,22.2,11.9,0.1,0.1
1388,＜魚類＞（たい類）まだい養殖皮つき焼き,186,22.7,12,0.1,0.1
1389,＜魚類＞（たい類）まだい養殖皮なし生,131,21.2,5.9,0.2,0.1
1390,＜魚類＞たかさご生,93,20.2,1.5,0.1,0.1
1391,＜魚類＞たかべ生,148,18.7,9,0,0.3
1392,＜魚類＞たちうお生,238,16.5,20.9,0,0.2
1393,＜魚類＞（たら類）すけとうだら生,72,17.4,1,0.1,0.3
1394,＜魚類＞（たら類）すけとうだらフライ,195,19.2,11.9,5.7,0.4
1395,＜魚類＞（たら類）すけとうだらすり身,98,17.5,0.2,6.6,0.3
1396,＜魚類＞（たら類）すけとうだらすきみだら,165,40.5,0.3,0.1,18.8
1397,＜魚類＞（たら類）すけとうだらたらこ生,131,24,4.7,0.4,4.6
1398,＜魚類＞（たら類）すけとうだらたらこ焼き,158,28.3,6.1,0.5,5.3
1399,＜魚類＞（たら類）すけとうだらからしめんたいこ,121,21,3.3,3,5.6
1400,＜魚類＞（たら類）まだら生,72,17.6,0.2,0.1,0.3
1401,＜魚類＞（たら類）まだら焼き,103,25.2,0.2,0.2,0.4
1402,＜魚類＞（たら類）まだらしらこ生,60,13.4,0.8,0.2,0.3
1403,＜魚類＞（たら類）まだら塩だら,61,15.2,0.1,0,2
1404,＜魚類＞（たら類）まだら干しだら,299,73.2,0.8,0.1,3.8
1405,＜魚類＞（たら類）加工品でんぶ,276,25.5,1.1,41.5,4.2
1406,＜魚類＞（たら類）加工品桜でんぶ,351,10.6,0.5,80.2,2.4
1407,＜魚類＞ちか生,82,19.5,0.6,0,0.6
1408,＜魚類＞どじょう生,72,16.1,1.2,0,0.2
1409,＜魚類＞どじょう水煮,76,17.1,1.2,0,0.3
1410,＜魚類＞とびうお生,89,21,0.7,0.1,0.2
1411,＜魚類＞とびうお煮干し,325,80,2.2,0.1,1.5
1412,＜魚類＞とびうお焼き干し,309,73.4,3.3,0.1,1.8
1413,＜魚類＞ナイルティラピア生,124,19.8,5.3,0.2,0.2
1414,＜魚類＞なまず生,139,18.4,8.6,0,0.1
1415,＜魚類＞にぎす生,84,18.7,1.2,0.1,0.5
1416,＜魚類＞にしん生,196,17.4,15.1,0.1,0.3
1417,＜魚類＞にしん身欠きにしん,224,20.9,16.7,0.2,0.4
1418,＜魚類＞にしん開き干し,239,18.5,19.7,0.2,0.9
1419,＜魚類＞にしんくん製,280,23.1,22.1,0,9.9
1420,＜魚類＞にしんかずのこ生,139,25.2,6.7,0.2,0.8
1421,＜魚類＞にしんかずのこ乾,358,65.2,13.6,0.5,3.6
1422,＜魚類＞にしんかずのこ塩蔵水戻し,80,15,3,0.6,1.2
1423,＜魚類＞はぜ生,78,19.1,0.2,0.1,0.2
1424,＜魚類＞はぜつくだ煮,277,24.3,3,39.9,5.6
1425,＜魚類＞はぜ甘露煮,260,21.1,2.2,40.3,3.8
1426,＜魚類＞はたはた生,101,14.1,5.7,0,0.5
1427,＜魚類＞はたはた生干し,154,16.7,10.3,0,1.3
1428,＜魚類＞はまふえふき生,85,20.5,0.3,0.1,0.2
1429,＜魚類＞はも生,132,22.3,5.3,0,0.2
1430,＜魚類＞ひらまさ生,128,22.6,4.9,0.1,0.1
1431,＜魚類＞ひらめ天然生,94,20,2,0,0.1
1432,＜魚類＞ひらめ養殖皮つき生,115,21.6,3.7,0,0.1
1433,＜魚類＞ひらめ養殖皮なし生,100,21.2,2.5,0.1,0.1
1434,＜魚類＞（ふぐ類）とらふぐ養殖生,80,19.3,0.3,0.2,0.3
1435,＜魚類＞（ふぐ類）まふぐ生,78,18.9,0.4,0,0.2
1436,＜魚類＞ふな生,93,18.2,2.5,0.1,0.1
1437,＜魚類＞ふな水煮,104,20.3,2.8,0.1,0.1
1438,＜魚類＞ふな甘露煮,266,15.5,3.6,44.4,3.3
1439,＜魚類＞ふなふなずし,181,21.3,7.9,9.2,3.9
1440,＜魚類＞ぶり成魚生,222,21.4,17.6,0.3,0.1
1441,＜魚類＞ぶり成魚焼き,260,26.2,20.4,0.3,0.1
1442,＜魚類＞ぶりはまち養殖皮つき生,217,20.7,17.2,0.3,0.1
1443,＜魚類＞ぶりはまち養殖皮なし生,180,21,12,0.3,0.1
1444,＜魚類＞ほうぼう生,110,19.6,4.2,0,0.3
1445,＜魚類＞ホキ生,78,17,1.3,0,0.4
1446,＜魚類＞ほっけ生,103,17.3,4.4,0.1,0.2
1447,＜魚類＞ほっけ塩ほっけ,113,18.1,4.9,0.1,3.6
1448,＜魚類＞ほっけ開き干し生,161,20.6,9.4,0.1,1.8
1449,＜魚類＞ほっけ開き干し焼き,179,23.1,10.9,0.2,2
1450,＜魚類＞ぼら生,119,19.2,5,0.1,0.2
1451,＜魚類＞ぼらからすみ,353,40.4,28.9,0.3,3.6
1452,＜魚類＞ほんもろこ生,100,17.5,4.1,0.1,0.2
1453,＜魚類＞（まぐろ類）きはだ生,102,24.3,1,0,0.1
1454,＜魚類＞（まぐろ類）くろまぐろ天然赤身生,115,26.4,1.4,0.1,0.1
1455,＜魚類＞（まぐろ類）くろまぐろ天然脂身生,308,20.1,27.5,0.1,0.2
1456,＜魚類＞（まぐろ類）くろまぐろ養殖赤身生,153,24.8,7.6,0.3,0.1
1457,＜魚類＞（まぐろ類）くろまぐろ養殖赤身水煮,173,27.2,8.3,0.3,0.1
1458,＜魚類＞（まぐろ類）くろまぐろ養殖赤身蒸し,187,28,9.9,0.2,0.1
1459,＜魚類＞（まぐろ類）くろまぐろ養殖赤身電子レンジ調理,191,30.4,8.7,0.3,0.1
1460,＜魚類＞（まぐろ類）くろまぐろ養殖赤身焼き,202,29,10.6,0.3,0.1
1461,＜魚類＞（まぐろ類）くろまぐろ養殖赤身ソテー,194,28,10.2,0.3,0.1
1462,＜魚類＞（まぐろ類）くろまぐろ養殖赤身天ぷら,222,25.1,12.6,3.2,0.1
1463,＜魚類＞（まぐろ類）びんなが生,111,26,0.7,0.2,0.1
1464,＜魚類＞（まぐろ類）みなみまぐろ赤身生,88,21.6,0.4,0.1,0.1
1465,＜魚類＞（まぐろ類）みなみまぐろ脂身生,322,20.3,28.3,0.1,0.1
1466,＜魚類＞（まぐろ類）めじまぐろ生,139,25.2,4.8,0.1,0.1
1467,＜魚類＞（まぐろ類） めばち赤身生,115,25.4,2.3,0.3,0.1
1468,＜魚類＞（まぐろ類） めばち脂身生,158,23.9,7.5,0.4,0.3
1469,＜魚類＞（まぐろ類）缶詰水煮フレークライト,70,16,0.7,0.2,0.5
1470,＜魚類＞（まぐろ類）缶詰水煮フレークホワイト,96,18.3,2.5,0.4,0.7
1471,＜魚類＞（まぐろ類）缶詰味付けフレーク,134,19,2.3,9.9,1.9
1472,＜魚類＞（まぐろ類）缶詰油漬フレークライト,265,17.7,21.7,0.1,0.9
1473,＜魚類＞（まぐろ類）缶詰油漬フレークホワイト,279,18.8,23.6,0.1,0.9
1474,＜魚類＞マジェランあいなめ生,243,13.3,22.9,0.1,0.2
1475,＜魚類＞まながつお生,156,17.1,10.9,0,0.4
1476,＜魚類＞みなみくろたち生,112,21.7,3,0.1,0.3
1477,＜魚類＞みなみだら生,68,16.4,0.3,0,0.6
1478,＜魚類＞むつ生,175,16.7,12.6,0,0.2
1479,＜魚類＞むつ水煮,161,22.2,8.4,0,0.2
1480,＜魚類＞めじな生,113,19.4,4.5,0.1,0.2
1481,＜魚類＞めばる生,100,18.1,3.5,0,0.2
1482,＜魚類＞メルルーサ生,73,17,0.6,0,0.4
1483,＜魚類＞やつめうなぎ生,245,15.8,21.8,0.2,0.1
1484,＜魚類＞やつめうなぎ干しやつめ,449,50.3,31.2,0.5,0.3
1485,＜魚類＞やまめ養殖生,108,18.4,4.3,0.3,0.1
1486,＜魚類＞わかさぎ生,71,14.4,1.7,0.1,0.5
1487,＜魚類＞わかさぎつくだ煮,308,28.7,5.5,38.2,4.8
1488,＜魚類＞わかさぎあめ煮,301,26.3,5.1,40.4,4.1
1489,＜貝類＞あかがい生,70,13.5,0.3,3.5,0.8
1490,＜貝類＞あげまき生,44,8.1,0.6,2,1.5
1491,＜貝類＞あさり生,27,6,0.3,0.4,2.2
1492,＜貝類＞あさりつくだ煮,218,20.8,2.4,30.1,7.4
1493,＜貝類＞あさり缶詰水煮,102,20.3,2.2,1.9,1
1494,＜貝類＞あさり缶詰味付け,124,16.6,1.9,11.5,1.6
1495,＜貝類＞あわびくろあわび生,76,14.3,0.8,3.6,1.1
1496,＜貝類＞あわびまだかあわび生,74,14.6,0.4,3.3,0.8
1497,＜貝類＞あわびめがいあわび生,74,12.2,0.3,6.8,0.8
1498,＜貝類＞あわび干し,257,38,1.6,23.8,7.4
1499,＜貝類＞あわび塩辛,93,14.8,3.9,1.4,6.6
1500,＜貝類＞あわび水煮缶詰,85,19.4,0.4,1,1.4
1501,＜貝類＞いがい生,63,10.3,1.6,3.2,1.4
1502,＜貝類＞いたやがい養殖生,55,10.8,0.8,1.5,1.1
1503,＜貝類＞エスカルゴ水煮缶詰,75,16.5,1,0.8,0.7
1504,＜貝類＞かき養殖生,58,6.9,2.2,4.9,1.2
1505,＜貝類＞かき養殖水煮,90,9.9,3.6,7.1,0.9
1506,＜貝類＞かき養殖フライ,256,7.6,11.1,32.9,1
1507,＜貝類＞かきくん製油漬缶詰,288,12.5,22.6,11.2,0.8
1508,＜貝類＞さざえ生,83,19.4,0.4,0.8,0.6
1509,＜貝類＞さざえ焼き,91,21.3,0.4,0.9,0.7
1510,＜貝類＞さるぼう味付け缶詰,124,15.9,2.2,12.9,2.2
1511,＜貝類＞しじみ生,54,7.5,1.4,4.5,0.4
1512,＜貝類＞しじみ水煮,95,15.4,2.7,5.5,0.3
1513,＜貝類＞たいらがい貝柱生,94,21.8,0.2,1.5,0.7
1514,＜貝類＞たにし生,73,13,1.1,3.6,0.1
1515,＜貝類＞つぶ生,82,17.8,0.2,2.3,1
1516,＜貝類＞とこぶし生,78,16,0.4,3,0.7
1517,＜貝類＞とりがい斧足生,81,12.9,0.3,6.9,0.3
1518,＜貝類＞ばい生,81,16.3,0.6,3.1,0.6
1519,＜貝類＞ばかがい生,56,10.9,0.5,2.4,0.8
1520,＜貝類＞（はまぐり類）はまぐり生,35,6.1,0.6,1.8,2
1521,＜貝類＞（はまぐり類）はまぐり水煮,79,14.9,1.5,2.9,1.2
1522,＜貝類＞（はまぐり類）はまぐり焼き,70,13.3,1,2.8,2
1523,＜貝類＞（はまぐり類）はまぐりつくだ煮,211,27,2.8,21.4,7.1
1524,＜貝類＞（はまぐり類）ちょうせんはまぐり生,41,6.5,1,2.7,1.3
1525,＜貝類＞ほたてがい生,66,13.5,0.9,1.5,0.8
1526,＜貝類＞ほたてがい水煮,89,17.6,1.9,1.9,0.6
1527,＜貝類＞ほたてがい貝柱生,82,16.9,0.3,3.5,0.3
1528,＜貝類＞ほたてがい貝柱焼き,123,23.8,0.3,4.6,0.4
1529,＜貝類＞ほたてがい貝柱煮干し,301,65.7,1.4,7.6,6.4
1530,＜貝類＞ほたてがい貝柱水煮缶詰,87,19.5,0.6,1.5,1
1531,＜貝類＞ほっきがい生,66,11.1,1.1,3.8,0.6
1532,＜貝類＞みるがい水管生,77,18.3,0.4,0.3,0.8
1533,＜えび・かに類＞（えび類）あまえび生,85,19.8,1.5,0.1,0.8
1534,＜えび・かに類＞（えび類）いせえび生,86,20.9,0.4,0,0.9
1535,＜えび・かに類＞（えび類）くるまえび養殖生,90,21.6,0.6,0,0.4
1536,＜えび・かに類＞（えび類）くるまえび養殖ゆで,116,28.2,0.5,0,0.5
1537,＜えび・かに類＞（えび類）くるまえび養殖焼き,97,23.5,0.4,0,0.5
1538,＜えび・かに類＞（えび類）さくらえび生,78,16.6,2,0.1,0.7
1539,＜えび・かに類＞（えび類）さくらえびゆで,79,18.2,1.5,0,2.1
1540,＜えび・かに類＞（えび類）さくらえび素干し,278,64.9,4,0.1,3
1541,＜えび・かに類＞（えび類）さくらえび煮干し,247,59.1,2.5,0.1,8.6
1542,＜えび・かに類＞（えび類）大正えび生,89,21.7,0.3,0.1,0.5
1543,＜えび・かに類＞（えび類）しばえび生,78,18.7,0.4,0.1,0.6
1544,＜えび・かに類＞（えび類）バナメイえび養殖生,82,19.6,0.6,0.7,0.3
1545,＜えび・かに類＞（えび類）バナメイえび養殖天ぷら,194,20,10.3,6.5,0.3
1546,＜えび・かに類＞（えび類）ブラックタイガー養殖生,77,18.4,0.3,0.3,0.4
1547,＜えび・かに類＞（えび類）加工品干しえび,207,48.6,2.8,0.3,3.8
1548,＜えび・かに類＞（えび類）加工品つくだ煮,239,25.9,2.2,30.1,4.8
1549,＜えび・かに類＞（かに類）がざみ生,61,14.4,0.3,0.3,0.9
1550,＜えび・かに類＞（かに類）毛がに生,67,15.8,0.5,0.2,0.6
1551,＜えび・かに類＞（かに類）毛がにゆで,78,18.4,0.5,0.2,0.6
1552,＜えび・かに類＞（かに類）ずわいがに生,59,13.9,0.4,0.1,0.8
1553,＜えび・かに類＞（かに類）ずわいがにゆで,65,15,0.6,0.1,0.6
1554,＜えび・かに類＞（かに類）ずわいがに水煮缶詰,69,16.3,0.4,0.2,1.7
1555,＜えび・かに類＞（かに類）たらばがに生,56,13,0.9,0.2,0.9
1556,＜えび・かに類＞（かに類）たらばがにゆで,77,17.5,1.5,0.3,0.8
1557,＜えび・かに類＞（かに類）たらばがに水煮缶詰,85,20.6,0.3,0.1,1.5
1558,＜えび・かに類＞（かに類）加工品がん漬,58,8.4,0.4,5.4,19.1
1559,＜いか・たこ類＞（いか類）あかいか生,81,17.9,1.5,0,0.5
1560,＜いか・たこ類＞（いか類）けんさきいか生,77,17.5,1,0.1,0.5
1561,＜いか・たこ類＞（いか類）こういか生,64,14.9,1.3,0.1,0.7
1562,＜いか・たこ類＞（いか類）するめいか生,76,17.9,0.8,0.1,0.5
1563,＜いか・たこ類＞（いか類）するめいか水煮,98,21.9,0.9,0.1,0.6
1564,＜いか・たこ類＞（いか類）するめいか焼き,108,23.6,1,0.1,0.8
1565,＜いか・たこ類＞（いか類）するめいか胴皮つき生,78,18.6,0.7,0.1,0.5
1566,＜いか・たこ類＞（いか類）するめいか胴皮なし生,80,18.6,0.6,0.1,0.5
1567,＜いか・たこ類＞（いか類）するめいか胴皮なし天ぷら,175,16.7,10.8,6.3,0.4
1568,＜いか・たこ類＞（いか類）するめいか耳・足生,75,16.9,0.9,0,0.6
1569,＜いか・たこ類＞（いか類）ほたるいか生,74,11.8,3.5,0.2,0.7
1570,＜いか・たこ類＞（いか類）ほたるいかゆで,91,17.7,2.9,0.4,0.6
1571,＜いか・たこ類＞（いか類）ほたるいかくん製,305,43.1,7.5,21.3,3.8
1572,＜いか・たこ類＞（いか類）ほたるいかつくだ煮,245,27,6.7,22.9,3
1573,＜いか・たこ類＞（いか類）やりいか生,79,17.6,1,0.4,0.4
1574,＜いか・たこ類＞（いか類）加工品するめ,304,69.2,4.3,0.4,2.3
1575,＜いか・たこ類＞（いか類）加工品さきいか,268,45.5,3.1,17.3,6.9
1576,＜いか・たこ類＞（いか類）加工品くん製,202,35.2,1.5,12.8,6.1
1577,＜いか・たこ類＞（いか類）加工品切りいかあめ煮,310,22.7,4.7,46.1,2.8
1578,＜いか・たこ類＞（いか類）加工品いかあられ,289,20,1.8,49.1,1.8
1579,＜いか・たこ類＞（いか類）加工品塩辛,114,15.2,3.4,6.5,6.9
1580,＜いか・たこ類＞（いか類）加工品味付け缶詰,127,21.4,1.8,7.7,1.8
1581,＜いか・たこ類＞（たこ類）いいだこ生,64,14.6,0.8,0.1,0.6
1582,＜いか・たこ類＞（たこ類）まだこ生,70,16.4,0.7,0.1,0.7
1583,＜いか・たこ類＞（たこ類）まだこゆで,91,21.7,0.7,0.1,0.6
1584,＜いか・たこ類＞（たこ類）みずだこ生,61,13.4,0.9,0.1,1.1
1585,＜その他＞あみつくだ煮,230,19.1,1.8,35.1,6.9
1586,＜その他＞あみ塩辛,62,12.9,1.1,0.8,19.8
1587,＜その他＞うに生うに,109,16,4.8,3.3,0.6
1588,＜その他＞うに粒うに,172,17.2,5.8,15.6,8.4
1589,＜その他＞うに練りうに,166,13.5,2.9,22.4,7.1
1590,＜その他＞おきあみ生,84,15,3.2,0.2,1.1
1591,＜その他＞おきあみゆで,78,13.8,3,0,1.6
1592,＜その他＞くらげ塩蔵塩抜き,21,5.2,0.1,0,0.3
1593,＜その他＞しゃこゆで,89,19.2,1.7,0.2,0.8
1594,＜その他＞なまこ生,22,4.6,0.3,0.5,1.7
1595,＜その他＞なまここのわた,54,11.4,1.8,0.5,4.6
1596,＜その他＞ほや生,27,5,0.8,0.8,3.3
1597,＜その他＞ほや塩辛,69,11.6,1.1,3.8,3.6
1598,＜水産練り製品＞かに風味かまぼこ,89,12.1,0.5,9.2,2.2
1599,＜水産練り製品＞黒はんぺん,119,11.2,2.9,13.7,1.4
1600,＜水産練り製品＞昆布巻きかまぼこ,83,8.9,0.5,11,2.4
1601,＜水産練り製品＞す巻きかまぼこ,89,12,0.8,8.7,2.2
1602,＜水産練り製品＞蒸しかまぼこ,93,12,0.9,9.7,2.5
1603,＜水産練り製品＞焼き抜きかまぼこ,102,16.2,1,7.4,2.4
1604,＜水産練り製品＞焼き竹輪,119,12.2,2,13.5,2.1
1605,＜水産練り製品＞だて巻,190,14.6,7.5,17.6,0.9
1606,＜水産練り製品＞つみれ,104,12,4.3,6.5,1.4
1607,＜水産練り製品＞なると,80,7.6,0.4,11.6,2
1608,＜水産練り製品＞はんぺん,93,9.9,1,11.4,1.5
1609,＜水産練り製品＞さつま揚げ,135,12.5,3.7,13.9,1.9
1610,＜水産練り製品＞魚肉ハム,155,13.4,6.7,11.1,2.3
1611,＜水産練り製品＞魚肉ソーセージ,158,11.5,7.2,12.6,2.1
1612,＜畜肉類＞いのしし肉脂身つき生,244,18.8,19.8,0.5,0.1
1613,＜畜肉類＞いのぶた肉脂身つき生,283,18.1,24.1,0.3,0.1
1614,＜畜肉類＞うさぎ肉赤肉生,131,20.5,6.3,0,0.1
1615,＜畜肉類＞うし［和牛肉］かた脂身つき生,258,17.7,22.3,0.3,0.1
1616,＜畜肉類＞うし［和牛肉］かた皮下脂肪なし生,239,18.3,19.8,0.3,0.1
1617,＜畜肉類＞うし［和牛肉］かた赤肉生,183,20.2,12.2,0.3,0.1
1618,＜畜肉類＞うし［和牛肉］かた脂身生,692,4,78,0,0
1619,＜畜肉類＞うし［和牛肉］かたロース脂身つき生,380,13.8,37.4,0.2,0.1
1620,＜畜肉類＞うし［和牛肉］かたロース皮下脂肪なし生,373,14,36.5,0.2,0.1
1621,＜畜肉類＞うし［和牛肉］かたロース赤肉生,293,16.5,26.1,0.2,0.1
1622,＜畜肉類＞うし［和牛肉］リブロース脂身つき生,514,9.7,56.5,0.1,0.1
1623,＜畜肉類＞うし［和牛肉］リブロース脂身つきゆで,539,12.6,58.2,0.1,0.1
1624,＜畜肉類＞うし［和牛肉］リブロース脂身つき焼き,541,14.6,56.8,0.2,0.1
1625,＜畜肉類＞うし［和牛肉］リブロース皮下脂肪なし生,502,10.3,54.4,0.1,0.1
1626,＜畜肉類＞うし［和牛肉］リブロース赤肉生,395,14,40,0.2,0.1
1627,＜畜肉類＞うし［和牛肉］リブロース脂身生,674,4.2,78,0,0.1
1628,＜畜肉類＞うし［和牛肉］サーロイン脂身つき生,460,11.7,47.5,0.3,0.1
1629,＜畜肉類＞うし［和牛肉］サーロイン皮下脂肪なし生,422,12.9,42.5,0.3,0.1
1630,＜畜肉類＞うし［和牛肉］サーロイン赤肉生,294,17.1,25.8,0.4,0.1
1631,＜畜肉類＞うし［和牛肉］ばら脂身つき生,472,11,50,0.1,0.1
1632,＜畜肉類＞うし［和牛肉］もも脂身つき生,235,19.2,18.7,0.5,0.1
1633,＜畜肉類＞うし［和牛肉］もも皮下脂肪なし生,212,20.2,15.5,0.6,0.1
1634,＜畜肉類＞うし［和牛肉］もも皮下脂肪なしゆで,302,25.7,23.3,0.2,0.1
1635,＜畜肉類＞うし［和牛肉］もも皮下脂肪なし焼き,300,27.7,22.7,0.5,0.1
1636,＜畜肉類＞うし［和牛肉］もも赤肉生,176,21.3,10.7,0.6,0.1
1637,＜畜肉類＞うし［和牛肉］もも脂身生,664,4.4,75.4,0,0.1
1638,＜畜肉類＞うし［和牛肉］そともも脂身つき生,244,17.8,20,0.5,0.1
1639,＜畜肉類＞うし［和牛肉］そともも皮下脂肪なし生,219,18.7,16.6,0.5,0.1
1640,＜畜肉類＞うし［和牛肉］そともも赤肉生,159,20.7,8.7,0.6,0.1
1641,＜畜肉類＞うし［和牛肉］ランプ脂身つき生,319,15.1,29.9,0.4,0.1
1642,＜畜肉類＞うし［和牛肉］ランプ皮下脂肪なし生,293,16,26.4,0.4,0.1
1643,＜畜肉類＞うし［和牛肉］ランプ赤肉生,196,19.2,13.6,0.5,0.1
1644,＜畜肉類＞うし［和牛肉］ヒレ赤肉生,207,19.1,15,0.3,0.1
1645,＜畜肉類＞うし［乳用肥育牛肉］かた脂身つき生,231,17.1,19.8,0.3,0.2
1646,＜畜肉類＞うし［乳用肥育牛肉］かた脂身つきゆで,309,20.8,23.8,0.1,0.1
1647,＜畜肉類＞うし［乳用肥育牛肉］かた脂身つき焼き,298,23,25.5,0.2,0.1
1648,＜畜肉類＞うし［乳用肥育牛肉］かた皮下脂肪なし生,262,17.9,14.9,0.4,0.1
1649,＜畜肉類＞うし［乳用肥育牛肉］かた赤肉生,138,20.4,6.7,0.2,0.2
1650,＜畜肉類＞うし［乳用肥育牛肉］かた赤肉ゆで,174,27.9,7.1,1,0.1
1651,＜畜肉類＞うし［乳用肥育牛肉］かた赤肉焼き,175,26.9,7.7,0.8,0.2
1652,＜畜肉類＞うし［乳用肥育牛肉］かた脂身生,650,4.5,73.3,0,0.1
1653,＜畜肉類＞うし［乳用肥育牛肉］かたロース脂身つき生,295,16.2,26.4,0.2,0.1
1654,＜畜肉類＞うし［乳用肥育牛肉］かたロース皮下脂肪なし生,285,16.5,25.2,0.2,0.1
1655,＜畜肉類＞うし［乳用肥育牛肉］かたロース赤肉生,196,19.1,13.9,0.2,0.1
1656,＜畜肉類＞うし［乳用肥育牛肉］リブロース脂身つき生,380,14.1,37.1,0.2,0.1
1657,＜畜肉類＞うし［乳用肥育牛肉］リブロース脂身つきゆで,428,17.2,43,0.3,0.1
1658,＜畜肉類＞うし［乳用肥育牛肉］リブロース脂身つき焼き,457,20.4,45,0.3,0.1
1659,＜畜肉類＞うし［乳用肥育牛肉］リブロース皮下脂肪なし生,351,15,33.4,0.2,0.1
1660,＜畜肉類＞うし［乳用肥育牛肉］リブロース赤肉生,230,18.8,17.8,0.3,0.1
1661,＜畜肉類＞うし［乳用肥育牛肉］リブロース脂身生,703,3.7,80.5,0,0
1662,＜畜肉類＞うし［乳用肥育牛肉］サーロイン脂身つき生,313,16.5,27.9,0.4,0.1
1663,＜畜肉類＞うし［乳用肥育牛肉］サーロイン皮下脂肪なし生,253,18.4,20.2,0.5,0.1
1664,＜畜肉類＞うし［乳用肥育牛肉］サーロイン赤肉生,167,21.1,9.1,0.6,0.2
1665,＜畜肉類＞うし［乳用肥育牛肉］ばら脂身つき生,381,12.8,39.4,0.3,0.1
1666,＜畜肉類＞うし［乳用肥育牛肉］ばら脂身つき焼き,451,15.9,44.2,0.3,0.2
1667,＜畜肉類＞うし［乳用肥育牛肉］もも脂身つき生,196,19.5,13.3,0.4,0.1
1668,＜畜肉類＞うし［乳用肥育牛肉］もも皮下脂肪なし生,169,20.5,9.9,0.4,0.1
1669,＜畜肉類＞うし［乳用肥育牛肉］もも皮下脂肪なしゆで,235,28.4,13.8,0.6,0.1
1670,＜畜肉類＞うし［乳用肥育牛肉］もも皮下脂肪なし焼き,227,28,13.2,0.6,0.2
1671,＜畜肉類＞うし［乳用肥育牛肉］もも赤肉生,130,21.9,4.9,0.4,0.1
1672,＜畜肉類＞うし［乳用肥育牛肉］もも脂身生,594,5.1,64.1,0.2,0.1
1673,＜畜肉類＞うし［乳用肥育牛肉］そともも脂身つき生,220,18.2,16.3,0.6,0.1
1674,＜畜肉類＞うし［乳用肥育牛肉］そともも皮下脂肪なし生,179,19.6,11.1,0.6,0.1
1675,＜畜肉類＞うし［乳用肥育牛肉］そともも赤肉生,131,21.3,5,0.7,0.2
1676,＜畜肉類＞うし［乳用肥育牛肉］ランプ脂身つき生,234,18.6,17.8,0.6,0.1
1677,＜畜肉類＞うし［乳用肥育牛肉］ランプ皮下脂肪なし生,203,19.7,13.9,0.6,0.1
1678,＜畜肉類＞うし［乳用肥育牛肉］ランプ赤肉生,142,22,6.1,0.7,0.2
1679,＜畜肉類＞うし［乳用肥育牛肉］ヒレ赤肉生,177,20.8,11.2,0.5,0.1
1680,＜畜肉類＞うし［乳用肥育牛肉］ヒレ赤肉焼き,238,27.2,15.2,0.4,0.2
1681,＜畜肉類＞うし［交雑牛肉］リブロース脂身つき生,489,12,51.8,0.3,0.1
1682,＜畜肉類＞うし［交雑牛肉］リブロース脂身つきゆで,540,13.2,56.5,0.1,0
1683,＜畜肉類＞うし［交雑牛肉］リブロース脂身つき焼き,575,14.5,60.1,0.2,0.1
1684,＜畜肉類＞うし［交雑牛肉］リブロース皮下脂肪なし生,438,13.6,45.2,0.3,0.1
1685,＜畜肉類＞うし［交雑牛肉］リブロース赤肉生,338,16.7,32.3,0.4,0.1
1686,＜畜肉類＞うし［交雑牛肉］リブロース脂身生,759,3.6,86.7,0,0
1687,＜畜肉類＞うし［交雑牛肉］ばら脂身つき生,445,12.2,44.4,0.3,0.2
1688,＜畜肉類＞うし［交雑牛肉］もも脂身つき生,312,16.4,28.9,0.4,0.2
1689,＜畜肉類＞うし［交雑牛肉］もも皮下脂肪なし生,250,18.3,21.6,0.4,0.2
1690,＜畜肉類＞うし［交雑牛肉］もも皮下脂肪なしゆで,331,25.7,28.2,0.2,0.1
1691,＜畜肉類＞うし［交雑牛肉］もも皮下脂肪なし焼き,313,25,27.6,0.5,0.2
1692,＜畜肉類＞うし［交雑牛肉］もも赤肉生,222,19.3,17.5,0.5,0.2
1693,＜畜肉類＞うし［交雑牛肉］もも脂身生,682,4.8,75.8,0.1,0.1
1694,＜畜肉類＞うし［交雑牛肉］ヒレ赤肉生,229,19,18,0.4,0.1
1695,＜畜肉類＞うし［輸入牛肉］かた脂身つき生,160,19,10.6,0.1,0.1
1696,＜畜肉類＞うし［輸入牛肉］かた皮下脂肪なし生,138,19.6,7.8,0.1,0.1
1697,＜畜肉類＞うし［輸入牛肉］かた赤肉生,114,20.4,4.6,0.1,0.1
1698,＜畜肉類＞うし［輸入牛肉］かた脂身生,537,7.1,60.5,0,0.1
1699,＜畜肉類＞うし［輸入牛肉］かたロース脂身つき生,221,17.9,17.4,0.1,0.1
1700,＜畜肉類＞うし［輸入牛肉］かたロース皮下脂肪なし生,219,18,17.1,0.1,0.1
1701,＜畜肉類＞うし［輸入牛肉］かたロース赤肉生,160,19.7,9.5,0.1,0.1
1702,＜畜肉類＞うし［輸入牛肉］リブロース脂身つき生,212,20.1,15.4,0.4,0.1
1703,＜畜肉類＞うし［輸入牛肉］リブロース脂身つきゆで,307,25.8,23.9,0.1,0
1704,＜畜肉類＞うし［輸入牛肉］リブロース脂身つき焼き,306,25,23.9,0.3,0.1
